WL/nm,Abs
562.00,-0.000
561.00,-0.000
560.00,-0.000
559.00,-0.000
558.00,-0.000
557.00,-0.000
556.00,0.000
555.00,-0.000
554.00,-0.000
553.00,-0.000
552.00,-0.000
551.00,0.000
550.00,0.000
549.00,0.000
548.00,0.000
547.00,0.000
546.00,0.000
545.00,0.000
544.00,0.000
543.00,0.000
542.00,0.000
541.00,0.000
540.00,0.000
539.00,0.000
538.00,0.000
537.00,0.000
536.00,0.000
535.00,0.000
534.00,0.000
533.00,0.000
532.00,0.000
531.00,0.000
530.00,0.000
529.00,0.000
528.00,0.000
527.00,0.000
526.00,0.000
525.00,0.000
524.00,0.000
523.00,0.000
522.00,0.000
521.00,0.000
520.00,0.000
519.00,0.000
518.00,0.000
517.00,0.000
516.00,0.000
515.00,0.000
514.00,0.000
513.00,0.000
512.00,0.000
511.00,0.000
510.00,0.000
509.00,0.000
508.00,0.000
507.00,0.000
506.00,0.000
505.00,0.000
504.00,0.000
503.00,0.000
502.00,0.000
501.00,0.000
500.00,0.000
499.00,0.000
498.00,0.000
497.00,0.000
496.00,0.000
495.00,0.000
494.00,0.000
493.00,0.000
492.00,0.000
491.00,0.000
490.00,0.000
489.00,0.000
488.00,0.000
487.00,0.000
486.00,0.000
485.00,0.000
484.00,0.000
483.00,0.000
482.00,0.000
481.00,0.000
480.00,0.000
479.00,0.000
478.00,0.000
477.00,0.000
476.00,0.000
475.00,0.000
474.00,0.000
473.00,0.000
472.00,0.000
471.00,0.000
470.00,0.000
469.00,0.000
468.00,0.000
467.00,0.000
466.00,0.000
465.00,0.000
464.00,0.000
463.00,0.000
462.00,0.000
461.00,0.000
460.00,0.000
459.00,0.000
458.00,0.000
457.00,0.000
456.00,0.000
455.00,0.000
454.00,0.000
453.00,0.000
452.00,0.000
451.00,0.000
450.00,0.000
449.00,0.000
448.00,0.000
447.00,0.000
446.00,0.000
445.00,0.000
444.00,0.000
443.00,0.000
442.00,0.000
441.00,0.000
440.00,0.000
439.00,0.000
438.00,0.000
437.00,0.000
436.00,0.000
435.00,0.000
434.00,0.000
433.00,0.000
432.00,0.000
431.00,0.000
430.00,0.000
429.00,0.000
428.00,0.000
427.00,0.000
426.00,0.000
425.00,0.000
424.00,0.000
423.00,0.000
422.00,0.000
421.00,0.001
420.00,0.000
419.00,0.000
418.00,0.000
417.00,0.000
416.00,0.000
415.00,0.000
414.00,0.000
413.00,0.000
412.00,0.000
411.00,0.000
410.00,0.000
409.00,0.000
408.00,0.000
407.00,0.000
406.00,0.000
405.00,0.001
404.00,0.000
403.00,0.000
402.00,0.000
401.00,0.001
400.00,0.001
399.00,0.000
398.00,0.001
397.00,0.000
396.00,0.001
395.00,0.001
394.00,0.000
393.00,0.001
392.00,0.001
391.00,0.001
390.00,0.001
389.00,0.001
388.00,0.000
387.00,0.001
386.00,0.001
385.00,0.001
384.00,0.001
383.00,0.001
382.00,0.001
381.00,0.001
380.00,0.001
379.00,0.001
378.00,0.001
377.00,0.001
376.00,0.001
375.00,0.001
374.00,0.001
373.00,0.001
372.00,0.001
371.00,0.001
370.00,0.001
369.00,0.001
368.00,0.001
367.00,0.001
366.00,0.001
365.00,0.001
364.00,0.001
363.00,0.001
362.00,0.001
361.00,0.001
360.00,0.001
359.00,0.001
358.00,0.001
357.00,0.001
356.00,0.001
355.00,0.001
354.00,0.001
353.00,0.001
352.00,0.002
351.00,0.001
350.00,0.001
349.00,0.001
348.00,0.001
347.00,0.001
346.00,0.001
345.00,0.001
344.00,0.001
343.00,0.002
342.00,0.002
341.00,0.002
340.00,0.004
339.00,0.002
338.00,0.002
337.00,0.002
336.00,0.002
335.00,0.002
334.00,0.002
333.00,0.002
332.00,0.002
331.00,0.003
330.00,0.003
329.00,0.002
328.00,0.003
327.00,0.003
326.00,0.003
325.00,0.004
324.00,0.004
323.00,0.005
322.00,0.005
321.00,0.006
320.00,0.006
319.00,0.007
318.00,0.008
317.00,0.008
316.00,0.009
315.00,0.011
314.00,0.012
313.00,0.014
312.00,0.016
311.00,0.018
310.00,0.020
309.00,0.023
308.00,0.026
307.00,0.029
306.00,0.033
305.00,0.037
304.00,0.042
303.00,0.047
302.00,0.054
301.00,0.061
300.00,0.069
299.00,0.077
298.00,0.087
297.00,0.098
296.00,0.109
295.00,0.122
294.00,0.135
293.00,0.149
292.00,0.164
291.00,0.179
290.00,0.195
289.00,0.213
288.00,0.233
287.00,0.255
286.00,0.281
285.00,0.308
284.00,0.337
283.00,0.365
282.00,0.389
281.00,0.405
280.00,0.416
279.00,0.424
278.00,0.432
277.00,0.442
276.00,0.454
275.00,0.462
274.00,0.465
273.00,0.462
272.00,0.454
271.00,0.442
270.00,0.429
269.00,0.418
268.00,0.407
267.00,0.396
266.00,0.386
265.00,0.375
264.00,0.365
263.00,0.356
262.00,0.347
261.00,0.341
260.00,0.338
259.00,0.337
258.00,0.338
257.00,0.341
256.00,0.348
255.00,0.359
254.00,0.374
253.00,0.395
252.00,0.423
251.00,0.461
250.00,0.506
249.00,0.563
248.00,0.634
247.00,0.723
246.00,0.827
245.00,0.953
244.00,1.102
243.00,1.268
242.00,1.450
241.00,1.644
240.00,1.844
239.00,2.039
238.00,2.227
237.00,2.403
236.00,2.550
235.00,2.710
234.00,2.825
233.00,2.892
232.00,2.931
231.00,2.948
230.00,2.982
229.00,3.015
228.00,2.957
227.00,2.937
226.00,2.886
225.00,2.848
224.00,2.810
223.00,2.746
222.00,2.668
221.00,2.613
220.00,2.560
219.00,2.502
218.00,2.458
217.00,2.456
216.00,2.507
215.00,2.562
214.00,2.625
213.00,2.760
212.00,2.920
211.00,3.171
210.00,3.389
209.00,3.794
208.00,3.933
207.00,3.852
206.00,3.872
205.00,3.867
204.00,3.901
203.00,3.819
202.00,3.884
201.00,3.875
200.00,3.975
